Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_58_130,VGND,li1,62.7900,163.2000,0.000022
FILLER_58_127,VGND,li1,61.8700,163.2000,0.000022
FILLER_58_94,VGND,li1,46.6900,163.2000,0.000016
FILLER_58_91,VGND,li1,45.3100,163.2000,0.000016
FILLER_58_88,VGND,li1,43.9300,163.2000,0.000015
FILLER_58_85,VGND,li1,42.5500,163.2000,0.000014
FILLER_58_83,VGND,li1,41.1700,163.2000,0.000014
FILLER_58_80,VGND,li1,40.2500,163.2000,0.000013
FILLER_58_77,VGND,li1,38.8700,163.2000,0.000013
FILLER_58_74,VGND,li1,37.4900,163.2000,0.000012
FILLER_58_71,VGND,li1,36.1100,163.2000,0.000012
FILLER_58_68,VGND,li1,34.7300,163.2000,0.000011
FILLER_58_65,VGND,li1,33.3500,163.2000,0.000011
FILLER_58_62,VGND,li1,31.9700,163.2000,0.000009
FILLER_58_59,VGND,li1,30.5900,163.2000,0.000009
FILLER_58_56,VGND,li1,29.2100,163.2000,0.000008
FILLER_58_53,VGND,li1,27.8300,163.2000,0.000007
FILLER_58_50,VGND,li1,26.4500,163.2000,0.000007
FILLER_58_47,VGND,li1,25.0700,163.2000,0.000007
FILLER_58_44,VGND,li1,23.6900,163.2000,0.000006
FILLER_58_41,VGND,li1,22.3100,163.2000,0.000005
FILLER_58_38,VGND,li1,20.9300,163.2000,0.000005
FILLER_58_35,VGND,li1,19.5500,163.2000,0.000005
FILLER_58_32,VGND,li1,18.1700,163.2000,0.000005
FILLER_58_29,VGND,li1,16.7900,163.2000,0.000005
FILLER_58_27,VGND,li1,15.4100,163.2000,0.000005
FILLER_58_24,VGND,li1,14.4900,163.2000,0.000005
FILLER_58_21,VGND,li1,13.1100,163.2000,0.000005
FILLER_58_18,VGND,li1,11.7300,163.2000,0.000005
FILLER_58_15,VGND,li1,10.3500,163.2000,0.000005
FILLER_58_12,VGND,li1,8.9700,163.2000,0.000005
FILLER_58_9,VGND,li1,7.5900,163.2000,0.000005
FILLER_58_6,VGND,li1,6.2100,163.2000,0.000005
FILLER_57_358,VGND,li1,168.1300,163.2000,0.000007
FILLER_57_355,VGND,li1,166.7500,163.2000,0.000007
FILLER_57_352,VGND,li1,165.3700,163.2000,0.000007
FILLER_57_349,VGND,li1,163.9900,163.2000,0.000007
FILLER_57_346,VGND,li1,162.6100,163.2000,0.000007
FILLER_57_343,VGND,li1,161.2300,163.2000,0.000007
FILLER_57_340,VGND,li1,159.8500,163.2000,0.000007
FILLER_57_337,VGND,li1,158.4700,163.2000,0.000007
FILLER_57_335,VGND,li1,157.0900,163.2000,0.000007
FILLER_57_332,VGND,li1,156.1700,163.2000,0.000007
FILLER_57_329,VGND,li1,154.7900,163.2000,0.000007
FILLER_57_326,VGND,li1,153.4100,163.2000,0.000007
FILLER_57_323,VGND,li1,152.0300,163.2000,0.000007
FILLER_57_320,VGND,li1,150.6500,163.2000,0.000007
FILLER_57_317,VGND,li1,149.2700,163.2000,0.000007
FILLER_57_314,VGND,li1,147.8900,163.2000,0.000007
FILLER_57_311,VGND,li1,146.5100,163.2000,0.000007
FILLER_57_308,VGND,li1,145.1300,163.2000,0.000007
FILLER_57_305,VGND,li1,143.7500,163.2000,0.000007
FILLER_57_302,VGND,li1,142.3700,163.2000,0.000007
FILLER_57_299,VGND,li1,140.9900,163.2000,0.000007
FILLER_57_296,VGND,li1,139.6100,163.2000,0.000007
FILLER_57_293,VGND,li1,138.2300,163.2000,0.000007
FILLER_57_290,VGND,li1,136.8500,163.2000,0.000008
FILLER_57_287,VGND,li1,135.4700,163.2000,0.000009
FILLER_57_284,VGND,li1,134.0900,163.2000,0.000009
FILLER_57_281,VGND,li1,132.7100,163.2000,0.000011
FILLER_57_279,VGND,li1,131.3300,163.2000,0.000012
FILLER_57_276,VGND,li1,130.4100,163.2000,0.000012
FILLER_57_273,VGND,li1,129.0300,163.2000,0.000013
FILLER_57_270,VGND,li1,127.6500,163.2000,0.000015
FILLER_57_267,VGND,li1,126.2700,163.2000,0.000015
FILLER_57_264,VGND,li1,124.8900,163.2000,0.000016
FILLER_57_261,VGND,li1,123.5100,163.2000,0.000017
FILLER_57_258,VGND,li1,122.1300,163.2000,0.000017
FILLER_57_255,VGND,li1,120.7500,163.2000,0.000019
FILLER_57_252,VGND,li1,119.3700,163.2000,0.000020
FILLER_57_249,VGND,li1,117.9900,163.2000,0.000020
FILLER_57_246,VGND,li1,116.6100,163.2000,0.000022
FILLER_57_243,VGND,li1,115.2300,163.2000,0.000022
FILLER_57_240,VGND,li1,113.8500,163.2000,0.000024
FILLER_57_237,VGND,li1,112.4700,163.2000,0.000024
FILLER_57_225,VGND,li1,106.4900,163.2000,0.000026
FILLER_57_222,VGND,li1,105.3400,163.2000,0.000026
FILLER_57_200,VGND,li1,95.2200,163.2000,0.000031
FILLER_57_197,VGND,li1,94.0700,163.2000,0.000032
FILLER_57_194,VGND,li1,92.6900,163.2000,0.000032
FILLER_57_191,VGND,li1,91.3100,163.2000,0.000033
FILLER_57_184,VGND,li1,87.6300,163.2000,0.000034
FILLER_57_178,VGND,li1,84.8700,163.2000,0.000033
FILLER_57_175,VGND,li1,83.9500,163.2000,0.000033
FILLER_57_172,VGND,li1,82.5700,163.2000,0.000033
FILLER_57_169,VGND,li1,81.1900,163.2000,0.000033
FILLER_57_166,VGND,li1,79.5800,163.2000,0.000033
FILLER_57_163,VGND,li1,78.4300,163.2000,0.000033
FILLER_57_160,VGND,li1,77.0500,163.2000,0.000033
FILLER_57_157,VGND,li1,75.6700,163.2000,0.000032
FILLER_57_149,VGND,li1,71.9900,163.2000,0.000030
FILLER_57_146,VGND,li1,70.6100,163.2000,0.000030
FILLER_57_128,VGND,li1,62.3300,163.2000,0.000022
FILLER_57_125,VGND,li1,60.9500,163.2000,0.000019
FILLER_57_122,VGND,li1,59.5700,163.2000,0.000019
FILLER_57_119,VGND,li1,58.1900,163.2000,0.000020
FILLER_57_110,VGND,li1,53.8200,163.2000,0.000019
FILLER_57_107,VGND,li1,52.6700,163.2000,0.000019
FILLER_57_104,VGND,li1,51.2900,163.2000,0.000018
FILLER_57_101,VGND,li1,49.9100,163.2000,0.000018
FILLER_57_98,VGND,li1,48.5300,163.2000,0.000017
FILLER_57_95,VGND,li1,47.1500,163.2000,0.000017
FILLER_57_92,VGND,li1,45.7700,163.2000,0.000016
FILLER_57_89,VGND,li1,44.3900,163.2000,0.000015
FILLER_57_86,VGND,li1,43.0100,163.2000,0.000015
FILLER_57_83,VGND,li1,41.6300,163.2000,0.000014
FILLER_57_80,VGND,li1,40.2500,163.2000,0.000013
FILLER_57_77,VGND,li1,38.8700,163.2000,0.000013
FILLER_57_74,VGND,li1,37.4900,163.2000,0.000012
FILLER_57_71,VGND,li1,36.1100,163.2000,0.000012
FILLER_57_63,VGND,li1,32.2000,163.2000,0.000009
FILLER_57_60,VGND,li1,31.0500,163.2000,0.000009
FILLER_57_57,VGND,li1,29.6700,163.2000,0.000008
FILLER_57_54,VGND,li1,28.0600,163.2000,0.000007
FILLER_57_51,VGND,li1,26.9100,163.2000,0.000007
FILLER_57_48,VGND,li1,25.5300,163.2000,0.000007
FILLER_57_45,VGND,li1,24.1500,163.2000,0.000006
FILLER_57_42,VGND,li1,22.7700,163.2000,0.000006
